Reactions of pathway from 16 STRING from a list	Matches	Map to Arabidopsis thaliana col	Genes of a reaction	Reaction-List	Object ID
RXN-18756	PWY-7901	RXN-18756			RXN-18756
RXN-11413	PWY-601	RXN-11413	AT4G31500		RXN-11413
RXN-11414	PWY-1187	RXN-11414	AT4G13770		RXN-11414
RXN-11415	PWYQT-4471	RXN-11415	AT4G13770		RXN-11415
RXN-11416	PWYQT-4472	RXN-11416	AT4G13770		RXN-11416
RXN-11417	PWYQT-4473	RXN-11417	AT4G13770		RXN-11417
RXN-11418	PWYQT-4474	RXN-11418	AT4G13770		RXN-11418
RXN-11419	PWYQT-4475	RXN-11419	AT4G13770		RXN-11419
RXN-11412	PWY-2821	RXN-11412	AT4G31500		RXN-11412
RXNQT-4362	PWYQT-4477	RXNQT-4362			RXNQT-4362
RXNQT-4351	PWYQT-4476	RXNQT-4351	AT3G16400 // AT3G16390 // AT3G16410 // AT5G48180		RXNQT-4351
RXNQT-4350	PWYQT-4477 // PWYQT-4476	RXNQT-4350			RXNQT-4350
RXN-12206	PWYQT-4476	RXN-12206			RXN-12206
RXN-1404	PWYQT-4476	RXN-1404	AT3G44300 // AT3G44310 // AT3G44320 // G-9024		RXN-1404
RXN-11429	PWY-601	RXN-11429	AT4G30530		RXN-11429
RXN-18759	PWY-7901	RXN-18759			RXN-18759
RXN-11428	PWY-2821	RXN-11428	AT4G30530 // GQT-2803		RXN-11428
RXN-11430	PWY-1187	RXN-11430	AT4G30530		RXN-11430
RXN-11433	PWYQT-4473	RXN-11433	AT4G30530		RXN-11433
RXN-11432	PWYQT-4472	RXN-11432	AT4G30530		RXN-11432
RXN-11435	PWYQT-4475	RXN-11435	AT4G30530		RXN-11435
RXN-11434	PWYQT-4474	RXN-11434	AT4G30530		RXN-11434
RXN-11431	PWYQT-4471	RXN-11431	AT4G30530		RXN-11431
RXN-19586	PWY-601	RXN-19586	AT2G20610		RXN-19586
RXN-19596	PWY-7901	RXN-19596			RXN-19596
RXN-8054	PWY-2821	RXN-8054	AT2G20610		RXN-8054
RXN-8052	PWY-1187	RXN-8052	AT2G20610		RXN-8052
RXNQT-4321	PWYQT-4473	RXNQT-4321	AT2G20610		RXNQT-4321
RXNQT-4320	PWYQT-4472	RXNQT-4320	AT2G20610		RXNQT-4320
RXNQT-4323	PWYQT-4475	RXNQT-4323	AT2G20610		RXNQT-4323
RXNQT-4322	PWYQT-4474	RXNQT-4322	AT2G20610		RXNQT-4322
RXNQT-4319	PWYQT-4471	RXNQT-4319	AT2G20610		RXNQT-4319
RXN-19591	PWY-2821	RXN-19591			RXN-19591
RXN-11436	PWY-2821	RXN-11436	AT2G20610		RXN-11436
RXN-19594	PWY-601	RXN-19594			RXN-19594
RXN-11437	PWY-601	RXN-11437	AT2G20610		RXN-11437
RXN-19595	PWY-7901	RXN-19595			RXN-19595
RXN-18760	PWY-7901	RXN-18760			RXN-18760
RXN-19589	PWY-1187	RXN-19589			RXN-19589
RXN-11438	PWY-1187	RXN-11438	AT2G20610		RXN-11438
RXN-19592	PWYQT-4473	RXN-19592			RXN-19592
RXN-11441	PWYQT-4473	RXN-11441	AT2G20610		RXN-11441
RXN-19593	PWYQT-4472	RXN-19593			RXN-19593
RXN-11440	PWYQT-4472	RXN-11440	AT2G20610		RXN-11440
RXN-19587	PWYQT-4475	RXN-19587			RXN-19587
RXN-11443	PWYQT-4475	RXN-11443	AT2G20610		RXN-11443
RXN-19590	PWYQT-4474	RXN-19590			RXN-19590
RXN-11442	PWYQT-4474	RXN-11442	AT2G20610		RXN-11442
RXN-19588	PWYQT-4471	RXN-19588			RXN-19588
RXN-11439	PWYQT-4471	RXN-11439	AT2G20610		RXN-11439
RXN-11421	PWY-601	RXN-11421	AT4G31500		RXN-11421
RXN-11422	PWY-1187	RXN-11422	AT4G13770		RXN-11422
RXN-11423	PWYQT-4471	RXN-11423	AT4G13770		RXN-11423
RXN-11424	PWYQT-4472	RXN-11424	AT4G13770		RXN-11424
RXN-11425	PWYQT-4473	RXN-11425	AT4G13770		RXN-11425
RXN-11426	PWYQT-4474	RXN-11426	AT4G13770		RXN-11426
RXN-11427	PWYQT-4475	RXN-11427	AT4G13770		RXN-11427
RXN-18757	PWY-7901	RXN-18757			RXN-18757
RXN-11420	PWY-2821	RXN-11420	AT4G31500		RXN-11420
RXNQT-4349	PWYQT-4450	RXNQT-4349			RXNQT-4349
