,id,abbreviation,name,code,stoichiometry,is_transport,equation,definition,reversibility,direction,abstract_reaction,pathways,aliases,ec_numbers,deltag,deltagerr,compound_ids,status,is_obsolete,linked_reaction,notes,source,...23,...24
1,rxn44086,NA,NA,(1) cpd00007[0] + (1) cpd02664[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd11630[0] + (1) cpd36001[0],-1:cpd00007:0:0:O2;-1:cpd02664:0:0:(E)-4-Hydroxyphenylacetaldehyde-oxime;-1:cpd21035:0:0:Reduced flavin;1:cpd00001:0:0:H2O;2:cpd00067:0:0:H+;1:cpd11630:0:0:Flavin;1:cpd36001:0:0:1-aci-nitro-2-(4-hydroxyphenyl)ethane,0,(1) cpd00007[0] + (1) cpd02664[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (2) cpd00067[0] + (1) cpd11630[0] + (1) cpd36001[0],(1) O2[0] + (1) (E)-4-Hydroxyphenylacetaldehyde-oxime[0] + (1) Reduced flavin[0] <=> (1) H2O[0] + (2) H+[0] + (1) Flavin[0] + (1) 1-aci-nitro-2-(4-hydroxyphenyl)ethane[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWY-7901 (glucosinolate biosynthesis from tyrosine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),MetaCyc: RXN-18756,null,1.00E+07,1.00E+07,cpd00001;cpd00007;cpd00067;cpd02664;cpd11630;cpd21035;cpd36001,OK,0,null,HB|GCP|EQP,Primary Database,,RXN-18756
2,rxn21795,RXN-11413.c,RXN-11413.c,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd23709[0] <=> (1) cpd00005[0] + (1) cpd23386[0],"-1:cpd00001:0:0:H2O;-1:cpd00006:0:0:""NADP"";-1:cpd23709:0:0:""(Z)-3-indoleacetaldoxime"";1:cpd00005:0:0:""NADPH"";2:cpd00067:0:0:""H+"";1:cpd23386:0:0:""indole-3-acetonitrile oxide""",0,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd23709[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd23386[0],(1) H2O[0] + (1) NADP[0] + (1) (Z)-3-indoleacetaldoxime[0] <=> (1) NADPH[0] + (2) H+[0] + (1) indole-3-acetonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWY-601 (glucosinolate biosynthesis from tryptophan); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),AraCyc: RXN-11413|MetaCyc: RXN-11413|PlantCyc: RXN-11413|Name:,null,1.00E+07,1.00E+07,cpd00001;cpd00005;cpd00006;cpd00067;cpd23386;cpd23709,OK,0,null,WB|HB|GCP|EQP,Primary Database,AT4G31500,RXN-11413
3,rxn44639,NA,NA,(1) cpd00007[0] + (1) cpd01880[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd11630[0] + (1) cpd23386[0],-1:cpd00007:0:0:O2;-1:cpd01880:0:0:3-Indoleacetaldoxime;-1:cpd21035:0:0:Reduced flavin;1:cpd00001:0:0:H2O;2:cpd00067:0:0:H+;1:cpd11630:0:0:Flavin;1:cpd23386:0:0:indole-3-acetonitrile oxide,0,(1) cpd00007[0] + (1) cpd01880[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (2) cpd00067[0] + (1) cpd11630[0] + (1) cpd23386[0],(1) O2[0] + (1) 3-Indoleacetaldoxime[0] + (1) Reduced flavin[0] <=> (1) H2O[0] + (2) H+[0] + (1) Flavin[0] + (1) indole-3-acetonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWY-601 (glucosinolate biosynthesis from tryptophan); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),MetaCyc: RXN-11413,null,1.00E+07,1.00E+07,cpd00001;cpd00007;cpd00067;cpd01880;cpd11630;cpd21035;cpd23386,OK,0,null,HB|GCP|EQP,Primary Database,AT4G31500,RXN-11413
4,rxn21796,RXN-11414.c,RXN-11414.c,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17431[0] <=> (1) cpd00005[0] + (1) cpd23389[0],"-1:cpd00001:0:0:H2O;-1:cpd00006:0:0:""NADP"";-1:cpd17431:0:0:""4-Methylthiobutanaldoxime"";1:cpd00005:0:0:""NADPH"";2:cpd00067:0:0:""H+"";1:cpd23389:0:0:""4-methylthiobutanonitrile oxide""",0,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17431[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd23389[0],(1) H2O[0] + (1) NADP[0] + (1) 4-Methylthiobutanaldoxime[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 4-methylthiobutanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWY-1187 (glucosinolate biosynthesis from homomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),AraCyc: RXN-11414|MetaCyc: RXN-11414|PlantCyc: RXN-11414|Name:,null,1.00E+07,1.00E+07,cpd00001;cpd00005;cpd00006;cpd00067;cpd17431;cpd23389,OK,0,rxn21797,WB|HB|GCP|EQP,Primary Database,AT4G13770,RXN-11414
5,rxn46000,NA,NA,(1) cpd00007[0] + (1) cpd17431[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd11630[0] + (1) cpd23389[0],-1:cpd00007:0:0:O2;-1:cpd17431:0:0:4-Methylthiobutanaldoxime;-1:cpd21035:0:0:Reduced flavin;1:cpd00001:0:0:H2O;2:cpd00067:0:0:H+;1:cpd11630:0:0:Flavin;1:cpd23389:0:0:4-methylthiobutanonitrile oxide,0,(1) cpd00007[0] + (1) cpd17431[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (2) cpd00067[0] + (1) cpd11630[0] + (1) cpd23389[0],(1) O2[0] + (1) 4-Methylthiobutanaldoxime[0] + (1) Reduced flavin[0] <=> (1) H2O[0] + (2) H+[0] + (1) Flavin[0] + (1) 4-methylthiobutanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWY-1187 (glucosinolate biosynthesis from homomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),MetaCyc: RXN-11414,null,1.00E+07,1.00E+07,cpd00001;cpd00007;cpd00067;cpd11630;cpd17431;cpd21035;cpd23389,OK,0,null,HB|GCP|EQP,Primary Database,AT4G13770,RXN-11414
6,rxn21798,RXN-11415.c,RXN-11415.c,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17435[0] <=> (1) cpd00005[0] + (1) cpd23392[0],"-1:cpd00001:0:0:H2O;-1:cpd00006:0:0:""NADP"";-1:cpd17435:0:0:""5-Methylthiopentanaldoxime"";1:cpd00005:0:0:""NADPH"";2:cpd00067:0:0:""H+"";1:cpd23392:0:0:""5-methylthiopentanonitrile oxide""",0,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17435[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd23392[0],(1) H2O[0] + (1) NADP[0] + (1) 5-Methylthiopentanaldoxime[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 5-methylthiopentanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWYQT-4471 (glucosinolate biosynthesis from dihomomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),AraCyc: RXN-11415|MetaCyc: RXN-11415|PlantCyc: RXN-11415|Name:,null,1.00E+07,1.00E+07,cpd00001;cpd00005;cpd00006;cpd00067;cpd17435;cpd23392,OK,0,rxn21799,WB|HB|GCP|EQP,Primary Database,AT4G13770,RXN-11415
7,rxn48134,NA,NA,(1) cpd00007[0] + (1) cpd17435[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd11630[0] + (1) cpd23392[0],-1:cpd00007:0:0:O2;-1:cpd17435:0:0:5-Methylthiopentanaldoxime;-1:cpd21035:0:0:Reduced flavin;1:cpd00001:0:0:H2O;2:cpd00067:0:0:H+;1:cpd11630:0:0:Flavin;1:cpd23392:0:0:5-methylthiopentanonitrile oxide,0,(1) cpd00007[0] + (1) cpd17435[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (2) cpd00067[0] + (1) cpd11630[0] + (1) cpd23392[0],(1) O2[0] + (1) 5-Methylthiopentanaldoxime[0] + (1) Reduced flavin[0] <=> (1) H2O[0] + (2) H+[0] + (1) Flavin[0] + (1) 5-methylthiopentanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWYQT-4471 (glucosinolate biosynthesis from dihomomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),MetaCyc: RXN-11415,null,1.00E+07,1.00E+07,cpd00001;cpd00007;cpd00067;cpd11630;cpd17435;cpd21035;cpd23392,OK,0,null,HB|GCP|EQP,Primary Database,AT4G13770,RXN-11415
8,rxn21800,RXN-11416.c,RXN-11416.c,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17436[0] <=> (1) cpd00005[0] + (1) cpd23395[0],"-1:cpd00001:0:0:H2O;-1:cpd00006:0:0:""NADP"";-1:cpd17436:0:0:""6-Methylthiohexanaldoxime"";1:cpd00005:0:0:""NADPH"";2:cpd00067:0:0:""H+"";1:cpd23395:0:0:""6-methylthiohexanonitrile oxide""",0,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17436[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd23395[0],(1) H2O[0] + (1) NADP[0] + (1) 6-Methylthiohexanaldoxime[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 6-methylthiohexanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWYQT-4472 (glucosinolate biosynthesis from trihomomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),AraCyc: RXN-11416|MetaCyc: RXN-11416|PlantCyc: RXN-11416|Name:,null,1.00E+07,1.00E+07,cpd00001;cpd00005;cpd00006;cpd00067;cpd17436;cpd23395,OK,0,rxn21801,WB|HB|GCP|EQP,Primary Database,AT4G13770,RXN-11416
9,rxn43369,NA,NA,(1) cpd00007[0] + (1) cpd17436[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (1) cpd11630[0] + (1) cpd23395[0],-1:cpd00007:0:0:O2;-1:cpd17436:0:0:6-Methylthiohexanaldoxime;-1:cpd21035:0:0:Reduced flavin;1:cpd00001:0:0:H2O;2:cpd00067:0:0:H+;1:cpd11630:0:0:Flavin;1:cpd23395:0:0:6-methylthiohexanonitrile oxide,0,(1) cpd00007[0] + (1) cpd17436[0] + (1) cpd21035[0] <=> (1) cpd00001[0] + (2) cpd00067[0] + (1) cpd11630[0] + (1) cpd23395[0],(1) O2[0] + (1) 6-Methylthiohexanaldoxime[0] + (1) Reduced flavin[0] <=> (1) H2O[0] + (2) H+[0] + (1) Flavin[0] + (1) 6-methylthiohexanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWYQT-4472 (glucosinolate biosynthesis from trihomomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),MetaCyc: RXN-11416,null,1.00E+07,1.00E+07,cpd00001;cpd00007;cpd00067;cpd11630;cpd17436;cpd21035;cpd23395,OK,0,null,HB|GCP|EQP,Primary Database,AT4G13770,RXN-11416
10,rxn21802,RXN-11417.c,RXN-11417.c,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17438[0] <=> (1) cpd00005[0] + (1) cpd23398[0],"-1:cpd00001:0:0:H2O;-1:cpd00006:0:0:""NADP"";-1:cpd17438:0:0:""7-Methylthioheptanaldoxime"";1:cpd00005:0:0:""NADPH"";2:cpd00067:0:0:""H+"";1:cpd23398:0:0:""7-methylthioheptanonitrile oxide""",0,(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd17438[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd23398[0],(1) H2O[0] + (1) NADP[0] + (1) 7-Methylthioheptanaldoxime[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 7-methylthioheptanonitrile oxide[0],?,=,null,MetaCyc: GLUCOSINOLATE-SYN (Glucosinolate Biosynthesis); N-CONTAINING-GLUCOSIDE-SYN (Nitrogen-Containing Glucoside Biosynthesis); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWYQT-4473 (glucosinolate biosynthesis from tetrahomomethionine); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis),AraCyc: RXN-11417|MetaCyc: RXN-11417|PlantCyc: RXN-11417|Name:,null,1.00E+07,1.00E+07,cpd00001;cpd00005;cpd00006;cpd00067;cpd17438;cpd23398,OK,0,rxn21803,WB|HB|GCP|EQP,Primary Database,AT4G13770,RXN-11417
